filename,vulnerability,,,,,,,,Mr. Chekideh
django_XSS.py,4(CWE-79),,,,,,,,"4(CWE-79),5(CWE-79)"
ensure_saved_scope.py,14(CWE-22),,,,,,,,25(CWE-489)
inter_command_injection_2.py,"20(CWE-78), 20(CWE-94)",,,,,,,,"19(CWE-78),21(CWE-78),22(CWE-78),39(CWE-489)"
inter_command_injection.py,"16(CWE-78), 26(CWE-78), 33(CWE-78), 16(CWE-94), 26(CWE-94), 33(CWE-94)",,,,,,,,"14(CWE-78),15(CWE-78),38(CWE-489)"
list_append.py,8(CWE-78),,,,,,,,"7(CWE-78),9(CWE-78),10(CWE-78),11(CWE-78)"
multi_chain.py,12(CWE-78),,,,,,,,"14(CWE-78),16(CWE-78)"
render_ids.py,10(CWE-79),,,,,,,,"10(CWE-79),12(CWE-79),17(CWE-489)"
tainted_arg_normal_function.py,8(CWE-78),,,,,,,,"12(CWE-78),14(CWE-78),17(CWE-78)"
XSS_assign_to_other_var.py,8(CWE-79),,,,,,,,"6(CWE-79),11(CWE-79),15(CWE-489)"
yield.py,"12(CWE-78), 12(CWE-94)",,,,,,,,"8(CWE-78),9(CWE-78),10(CWE-78),15(CWE-78),16(CWE-78),17(CWE-78),21(CWE-489)"
