filename,,,,Mr. Chekideh,,,extracted_lines
command_injection.py,,,,"18,27,16,35,4",,,"18, 27"
CWE-020_author_1.py,,,,"8,9",,,8
CWE-020_author_2.py,,,,"7,8",,,7
CWE-020_codeql_1.py,,,,"10,11,12",,,11
CWE-020_codeql_2.py,,,,"13,14,15,16",,,15
CWE-020_codeql_3.py,,,,"13,14,15,16",,,16
CWE-020_codeql_4.py,,,,"11,12,13",,,13
CWE-022_author_1.py,,,,"6,7",,,7
CWE-022_author_2.py,,,,"7,8,9",,,7
CWE-022_codeql_1.py,,,,"7,8,9",,,8
CWE-022_codeql_2.py,,,,"7,8,9",,,9
CWE-078_author_1.py,,,,"6,7",,,"2, 6, 7"
CWE-078_codeql_1.py,,,,"6,7,8",,,8
CWE-079_codeql_1.py,,,,"12,13,14,15",,,12
CWE-079_codeql_2.py,,,,"10,11,12",,,10
CWE-079_sonar_1.py,,,,"10,11,12,13",,,12
CWE-080_author_1.py,,,,"10,11,12",,,11
CWE-089_author_1.py,,,,"7,8",,,"3, 8"
CWE-089_codeql_1.py,,,,"7,8,9,10",,,8
CWE-090_codeql_1.py,,,,"13,14,16,17,19,20,21,22",,,"13,14"
CWE-090_codeql_2.py,,,,"13,14,16,17,19,20,21",,,"13,14,16,17"
CWE-094_author_1.py,,,,"5,6",,,6
CWE-094_codeql_1.py,,,,"7,8,9",,,9
CWE-094_sonar_1.py,,,,"10,11",,,11
CWE-095_author_1.py,,,,"5,6",,,5
CWE-099_sonar_1.py,,,,"11,12",,,12
CWE-113_sonar_1.py,,,,"12,13",,,12
CWE-113_sonar_2.py,,,,"8,9,10",,,10
CWE-116_author_1.py,,,,"5,7",,,9
CWE-116_codeql_1.py,,,,"7,8,9,10,11",,,
CWE-117_author_1.py,,,,"11,12",,,9
CWE-117_codeql_1.py,,,,"14,15",,,15
CWE-117_sonar_1.py,,,,"9,10",,,"7, 9, 10"
CWE-1204_sonar_1.py,,,,"9,10,11",,,11
CWE-193_author_1.py,,,,"6,7,8,9",,,6
CWE-200_author_1.py,,,,"10,11,12,13,14",,,12
CWE-209_codeql_1.py,,,,"16,17,18,19",,,19
CWE-215_author_1.py,,,,"22,17,27",,,27
CWE-215_codeql_1.py,,,,12,,,12
CWE-250_mitre_1.py,,,,"10,11,12",,,11
CWE-252_author_1.py,,,,"4,10",,,9
CWE-259_author_1.py,,,,5,,,5
CWE-259_author_2.py,,,,7,,,7
CWE-269_mitre_1.py,,,,"11,12,13,14",,,14
CWE-283_mitre_1.py,,,,"2,6",,,6
CWE-284_author_1.py,,,,"3,14,16",,,"12, 16"
CWE-285_codeql_1.py,,,,"16,17,18,20,21",,,20
CWE-295_author_1.py,,,,"7,8,9,10",,,"8,9"
CWE-295_author_2.py,,,,"7,8",,,7
CWE-295_codeql_1.py,,,,"7,8",,,8
CWE-297_sonar_1.py,,,,"7,8",,,7
CWE-297_sonar_2.py,,,,7,,,7
CWE-297_sonar_3.py,,,,"7,8,9",,,8
CWE-297_sonar_4.py,,,,"7,8,9,10",,,9
CWE-306_pearce_1.py,,,,"20,21,22,39",,,20
CWE-312_codeql_1.py,,,,"10,11,12",,,"3, 8, 10, 11, 12"
CWE-319_author_1.py,,,,7,,,7
CWE-319_author_2.py,,,,7,,,7
CWE-321_author_1.py,,,,9,,,9
CWE-326_author_1.py,,,,"7,8,9",,,9
CWE-326_author_2.py,,,,7,,,7
CWE-327_codeql_1.py,,,,"7,8,9",,,7
CWE-327_codeql_2.py,,,,"8,9",,,
CWE-327_codeql_3.py,,,,7,,,7
CWE-327_codeql_4.py,,,,7,,,
CWE-329_sonar_1.py,,,,"8,9,10,11",,,9
CWE-330_author_1.py,,,,7,,,7
CWE-331_author_1.py,,,,7,,,
CWE-339_mitre_1.py,,,,"6,7,8,9",,,6
CWE-347_sonar_1.py,,,,7,,,7
CWE-347_sonar_2.py,,,,7,,,7
CWE-347_sonar_3.py,,,,6,,,6
CWE-352_codeql_1.py,,,,8,,,8
CWE-367_author_1.py,,,,"8,9,10",,,8
CWE-377_codeql_1.py,,,,"7,8,9",,,7
CWE-379_sonar_1.py,,,,"7,8,9,10",,,9
CWE-384_sonar_1.py,,,,"7,8,9,10",,,9
CWE-385_mitre_1.py,,,,"5,6,7,8,9,10",,,7
CWE-400_sonar_1.py,,,,"12,13,15",,,15
CWE-406_mitre_1.py,,,,"8,9,10,11,12,13,14,15,16",,,11
CWE-414_author_1.py,,,,"9,10,11,12,13,15,16",,,9
CWE-425_author_1.py,,,,"7,8,9,10",,,10
CWE-434_pearce_1.py,,,,"11,12,13",,,12
CWE-434_pearce_2.py,,,,"11,12,13,14,15,16",,,"15,16"
CWE-454_author_1.py,,,,"8,9,10,11,12,13",,,"8,9,10,11"
CWE-462_mitre_1.py,,,,"5,6,7,8,9",,,7
CWE-477_author_1.py,,,,"7,8",,,
CWE-488_author_1.py,,,,"13,14,16,17",,,16
CWE-502_author_1.py,,,,"3,4,5,7,11",,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11"
CWE-502_codeql_1.py,,,,"4,8",,,8
CWE-502_mitre_1.py,,,,"8,9,10,11,12,13",,,9
CWE-502_sonar_1.py,,,,"10,11",,,11
CWE-521_sonar_1.py,,,,"6,10",,,10
CWE-521_sonar_2.py,,,,"6,10,11",,,11
CWE-522_author_1.py,,,,"6,10,11,12,13,17",,,10
CWE-522_pearce_1.py,,,,"14,15,16,17,18,19",,,17
CWE-595_author_1.py,,,,"5,6,7,8",,,
CWE-601_codeql_1.py,,,,"10,11",,,11
CWE-601_sonar_1.py,,,,"7,8",,,"7,8"
CWE-601_sonar_2.py,,,,"8,9",,,"8,9"
CWE-601_sonar_3.py,,,,"8,9,10,11",,,10
CWE-601_sonar_4.py,,,,"7,8,9,10",,,7
CWE-605_author_1.py,,,,"7,8,9,10",,,
CWE-611_author_1.py,,,,"14,15",,,15
CWE-611_codeql_1.py,,,,"11,12,13",,,11
CWE-611_sonar_1.py,,,,"7,8,9",,,8
CWE-611_sonar_2.py,,,,"6,7,8,9",,,6
CWE-611_sonar_3.py,,,,"8,9,10,11,12",,,8
CWE-611_sonar_4.py,,,,"7,8,9,11,12",,,11
CWE-641_sonar_1.py,,,,"11,12,13",,,13
CWE-643_codeql_1.py,,,,"14,15,16,17",,,17
CWE-643_sonar_1.py,,,,"14,15,16,17",,,"14,15"
CWE-703_author_1.py,,,,"5,6,7,8,9",,,6
CWE-703_author_2.py,,,,"6,7,8,9,10",,,
